electricity_facility [W],gas_facility [W]
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
12747.22712,7572.106303
11908.35807,4133.181182
11040.97768,3449.184706
9867.994238,3211.421533
9921.21818,3156.978356
9615.869453,2733.716135
9393.753683,2613.178748
8710.121474,2485.261195
9477.176516,2131.319691
8768.919927,1741.380582
8259.77567,1580.987163
7791.266042,1421.152228
7461.965392,1210.481295
7193.388363,950.7587642
7071.287998,657.7118014
6966.530156,356.1932056
6884.703334,94.3500431
6792.1508,0
6722.944759,0
6660.639997,0
6593.821003,0
6536.591941,0
6498.469142,0
6470.174612,0
6322.462691,0
6310.901032,0
6274.267505,0
6249.343182,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
4329.032498,0
4347.427778,0
4373.970105,0
4406.377796,0
3717.065673,0
3873.597145,0
4057.834177,0
4216.269205,0
4386.462826,0
4527.187699,0
4675.009664,0
4806.757427,0
4628.219475,0
4758.122101,0
4870.132119,0
5002.668834,0
5153.152595,0
5142.656785,238.7551735
5221.865771,337.7249538
5299.936389,436.8178965
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
12765.00019,9178.989166
11265.8761,5785.954753
10550.4211,5116.366309
9487.826999,4869.226745
9596.17328,4790.282501
9321.642568,4338.997555
9119.845401,4197.207299
8286.56715,4024.834242
8935.931935,3653.430338
8216.160273,3235.998975
7846.62147,3007.475085
7487.999842,2750.295873
7271.460326,2445.644647
7114.493504,2086.053554
6998.307707,1698.086083
6914.83878,1471.496448
6816.750296,1093.906885
6729.036073,678.6605164
6661.461219,363.6946362
6621.633306,0
6548.526911,0
6506.503695,0
6479.022286,0
6456.250825,0
6287.544951,0
6265.76793,0
6243.324308,0
6238.103843,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
6444.662468,0
4375.255136,0
4406.180446,0
4470.605454,0
4607.198217,0
3984.903777,0
4113.024913,0
4267.665785,0
4429.321205,0
4584.181425,0
4723.355449,0
4841.505075,0
4950.085504,0
4754.203235,0
4855.269188,0
4976.419504,0
5130.886884,0
5121.073306,231.8192968
5198.690458,326.1207473
5272.851587,420.645867
5344.858462,512.9702356
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
10128.68185,6014.884804
9124.053386,3294.249918
9026.695757,2695.320929
7822.66227,2295.01956
8038.792418,2391.137383
7830.437364,2185.311678
7679.18816,1951.132303
7472.103438,1817.630896
8804.23532,1715.399282
8485.749014,1251.213474
